章节名,知识点名称,年级
准备课,数一数（准备课）,一年级上册
准备课,比多少（准备课）,一年级上册
位置,上、下、前、后,一年级上册
位置,左、右,一年级上册
1~5的认识,1~5的认识,一年级上册
1~5的认识,比多少（1~5的认识和加减法）,一年级上册
1~5的认识,第几,一年级上册
1~5的认识,分与合,一年级上册
1~5的认识,加法（1~5的认识和加减法）,一年级上册
1~5的认识,减法（1~5的认识和加减法）,一年级上册
1~5的认识,0,一年级上册
认识图形（一）,认识图形（一）,一年级上册
6~10的认识和加减法,6和7,一年级上册
6~10的认识和加减法,8和9,一年级上册
6~10的认识和加减法,10,一年级上册
6~10的认识和加减法,连加连减（6~10 的认识和加减法）,一年级上册
6~10的认识和加减法,加减混合（6~10 的认识和加减法）,一年级上册
11~20各数的认识,11~20各数的认识,一年级上册
认识钟表,认识钟表,一年级上册
20以内的进位加法,9加几,一年级上册
20以内的进位加法,8、7、6加几,一年级上册
20以内的进位加法,5、4、3、2加几,一年级上册
认识图形（二）,认识图形（二）,一年级下册
20以内的退位减法,十几减9,一年级下册
20以内的退位减法,十几减8、7、6,一年级下册
20以内的退位减法,十几减5、4、3、2,一年级下册
分类与整理,分类和整理,一年级下册
100以内数的认识,数数、数的组成,一年级下册
100以内数的认识,数的顺序、比较大小,一年级下册
100以内数的认识,整十数加一位数及相应的减法,一年级下册
认识人名币,认识人民币,一年级下册
认识人名币,简单的计算（认识人民币）,一年级下册
100以内的加法和减法（一）,整十数加、减整十数,一年级下册
100以内的加法和减法（一）,两位数加一位数、整十数,一年级下册
100以内的加法和减法（一）,两位数减一位数、整十数,一年级下册
找规律,找规律,一年级下册
长度单位,长度单位,二年级上册
100以内的加法和减法（二）,不进位加,二年级上册
100以内的加法和减法（二）,进位加,二年级上册
100以内的加法和减法（二）,不退位减法,二年级上册
100以内的加法和减法（二）,退位减法,二年级上册
100以内的加法和减法（二）,连加、连减和加减混合,二年级上册
角的初步认识,角的初步认识,二年级上册
表内乘法（一）,乘法的初步认识,二年级上册
表内乘法（一）,5的乘法口诀,二年级上册
表内乘法（一）,2、3、4的乘法口诀,二年级上册
表内乘法（一）,乘加乘减,二年级上册
表内乘法（一）,6的乘法口诀,二年级上册
观察物体（一）,观察物体（一）,二年级上册
表内乘法（二）,7的乘法口诀,二年级上册
表内乘法（二）,8的乘法口诀,二年级上册
表内乘法（二）,9的乘法口诀,二年级上册
认识时间,认识时间,二年级上册
数据收集整理,数据收集整理,二年级下册
表内除法（一）,平均分,二年级下册
表内除法（一）,除法（表内除法（一））,二年级下册
表内除法（一）,用2~6的乘法口诀求商,二年级下册
图形的运动（一）,图形的运动（一）,二年级下册
表内除法（二）,表内除法（二）,二年级下册
混合运算,混合运算,二年级下册
有余数的除法,有余数的除法,二年级下册
万以内数的认识,1000以内数的认识,二年级下册
万以内数的认识,10000以内数的认识,二年级下册
万以内数的认识,整百、整千数加减法,二年级下册
克和千克,克和千克,二年级下册
数学广角——推理,数学广角——推理,二年级下册
时、分、秒,时、分、秒,三年级上册
万以内的加法和减法（一）,万以内的加法和减法（一）,三年级上册
测量,毫米、分米的认识,三年级上册
测量,千米的认识,三年级上册
测量,吨的认识,三年级上册
万以内的加法和减法（二）,万以内的加法和减法（二）,三年级上册
倍的认识,倍的认识,三年级上册
多位数乘一位数,口算乘法（多位数乘一位数）,三年级上册
多位数乘一位数,笔算乘法（多位数乘一位数）,三年级上册
多位数乘一位数,数字编码,三年级上册
长方形和正方形,四边形,三年级上册
长方形和正方形,周长（长方形和正方形）,三年级上册
分数的初步认识,几分之一,三年级上册
分数的初步认识,几分之几,三年级上册
分数的初步认识,分数的简单计算,三年级上册
分数的初步认识,分数的简单应用,三年级上册
数学广角——集合,数学广角——集合,三年级上册
位置与方向（一）,位置与方向（一）,三年级下册
除数是一位数的除法,口算除法（除数是一位数的除法）,三年级下册
除数是一位数的除法,笔算除法（除数是一位数的除法）,三年级下册
统计,统计,三年级下册
两位数乘两位数,口算乘法（两位数乘两位数）,三年级下册
两位数乘两位数,笔算乘法（两位数乘两位数）,三年级下册
面积,面积和面积单位,三年级下册
面积,长方形、正方形面积的计算,三年级下册
面积,面积单位间的进率,三年级下册
年、月、日,年、月、日,三年级下册
年、月、日,24时记时法,三年级下册
小数的初步认识,认识小数,三年级下册
小数的初步认识,简单的小数加、减法,三年级下册
大数的认识,亿以内数的认识,四年级上册
大数的认识,数的产生,四年级上册
大数的认识,十进制计数法,四年级上册
大数的认识,亿以上数的认识,四年级上册
大数的认识,计算工具的认识,四年级上册
大数的认识,算盘,四年级上册
大数的认识,计算器,四年级上册
公顷和平方千米,公顷和平方千米,四年级上册
角的度量,线段、直线、射线,四年级上册
角的度量,角,四年级上册
角的度量,角的度量,四年级上册
角的度量,角的分类,四年级上册
角的度量,画角,四年级上册
三位数乘两位数,三位数乘两位数,四年级上册
平行四边形和梯形,平行与垂直,四年级上册
平行四边形和梯形,平行四边形和梯形,四年级上册
除数是两位数的除法,口算除法(除数是两位数的除法),四年级上册
除数是两位数的除法,笔算除法(除数是两位数的除法),四年级上册
