概念A,概念B,,vote1,vote2,vote3,,1,0,N
整十数加一位数及相应的减法,不进位加, 2/3,0,1,1,,2,1,0
简单的计算（认识人民币）,不进位加, 2/3,1,0,1,,2,1,0
整十数加、减整十数,不进位加, 2/3,0,1,1,,2,1,0
两位数加一位数、整十数,不进位加, 2/3,0,1,1,,2,1,0
整十数加一位数及相应的减法,进位加,1,1,1,1,,3,0,0
简单的计算（认识人民币）,进位加, 2/3,1,0,1,,2,1,0
整十数加、减整十数,进位加, 2/3,0,1,1,,2,1,0
两位数加一位数、整十数,进位加,1,1,1,1,,3,0,0
十几减9,不退位减法, 2/3,1,1,0,,2,1,0
十几减8、7、6,不退位减法, 2/3,1,1,0,,2,1,0
整十数加、减整十数,不退位减法, 2/3,0,1,1,,2,1,0
两位数减一位数、整十数,不退位减法,1,1,1,1,,3,0,0
整十数加一位数及相应的减法,退位减法, 2/3,0,1,1,,2,1,0
整十数加、减整十数,退位减法, 2/3,0,1,1,,2,1,0
简单的计算（认识人民币）,退位减法, 2/3,0,1,1,,2,1,0
两位数减一位数、整十数,退位减法, 2/3,0,1,1,,2,1,0
十几减9,连加、连减和加减混合, 2/3,1,1,0,,2,1,0
十几减8、7、6,连加、连减和加减混合, 2/3,1,1,0,,2,1,0
十几减5、4、3、2,连加、连减和加减混合, 2/3,1,1,0,,2,1,0
整十数加一位数及相应的减法,连加、连减和加减混合, 2/3,1,1,0,,2,1,0
不进位加,进位加,1,1,1,1,,3,0,0
不退位减法,退位减法,1,1,1,1,,3,0,0
不进位加,连加、连减和加减混合,1,1,1,1,,3,0,0
进位加,连加、连减和加减混合,1,1,1,1,,3,0,0
不退位减法,连加、连减和加减混合,1,1,1,1,,3,0,0
退位减法,连加、连减和加减混合,1,1,1,1,,3,0,0
乘法的初步认识,5的乘法口诀,1,1,1,1,,3,0,0
乘法的初步认识,2、3、4的乘法口诀,1,1,1,1,,3,0,0
进位加,乘加乘减, 2/3,0,1,1,,2,1,0
乘法的初步认识,乘加乘减,1,1,1,1,,3,0,0
乘法的初步认识,6的乘法口诀,1,1,1,1,,3,0,0
乘法的初步认识,7的乘法口诀,1,1,1,1,,3,0,0
乘法的初步认识,8的乘法口诀,1,1,1,1,,3,0,0
乘法的初步认识,9的乘法口诀,1,1,1,1,,3,0,0
