概念A,概念B,,vote1,vote2,vote3,,1,0,N
数的产生,小数的意义,1,1,1,1,,3,0,0
数的产生,小数的读法和写法,1,1,1,1,,3,0,0
数的产生,小数的性质,1,1,1,1,,3,0,0
数的产生,平均数, 2/3,1,1,0,,2,1,0
角,三角形的内角和,1,1,1,1,,3,0,0
角的度量,三角形的内角和,1,1,1,1,,3,0,0
平行与垂直,轴对称,1,1,1,1,,3,0,0
平行与垂直,平移,1,1,1,1,,3,0,0
条形统计图,复式条形统计图,1,1,1,1,,3,0,0
加、减法的意义和各部分间的关系,乘、除法的意义和各部分间的关系, 2/3,1,1,0,,2,1,0
加、减法的意义和各部分间的关系,加法运算定律, 2/3,1,0,1,,2,1,0
加、减法的意义和各部分间的关系,小数加减法,1,1,1,1,,3,0,0
加、减法的意义和各部分间的关系,小数加减混合运算,1,1,1,1,,3,0,0
加、减法的意义和各部分间的关系,整数加法运算定律推广到小数,1,1,1,1,,3,0,0
乘、除法的意义和各部分间的关系,乘法运算定律,1,1,1,1,,3,0,0
括号,加法运算定律, 2/3,1,1,0,,2,1,0
括号,乘法运算定律, 2/3,1,1,0,,2,1,0
加法运算定律,乘法运算定律,1,1,1,1,,3,0,0
加法运算定律,小数加减法,1,1,1,1,,3,0,0
加法运算定律,小数加减混合运算,1,1,1,1,,3,0,0
加法运算定律,整数加法运算定律推广到小数,1,1,1,1,,3,0,0
小数的意义,小数的读法和写法,1,1,1,1,,3,0,0
小数的意义,小数的性质, 2/3,0,1,1,,2,1,0
小数的意义,小数的大小比较, 2/3,1,1,0,,2,1,0
小数的意义,小数点移动引起小数大小的变化, 2/3,1,1,0,,2,1,0
小数的意义,小数与单位换算, 2/3,1,1,0,,2,1,0
小数的意义,小数的近似数,1,1,1,1,,3,0,0
小数的意义,小数加减法, 2/3,1,1,0,,2,1,0
小数的意义,小数加减混合运算, 2/3,1,1,0,,2,1,0
小数的意义,整数加法运算定律推广到小数, 2/3,1,1,0,,2,1,0
小数的性质,小数的大小比较,1,1,1,1,,3,0,0
小数的大小比较,小数点移动引起小数大小的变化, 2/3,1,1,0,,2,1,0
小数的大小比较,小数与单位换算, 2/3,1,1,0,,2,1,0
小数的大小比较,小数的近似数, 2/3,1,1,0,,2,1,0
小数的大小比较,小数加减法, 2/3,1,1,0,,2,1,0
小数的大小比较,小数加减混合运算, 2/3,1,1,0,,2,1,0
小数的大小比较,整数加法运算定律推广到小数,1,1,1,1,,3,0,0
小数点移动引起小数大小的变化,小数与单位换算,1,1,1,1,,3,0,0
小数点移动引起小数大小的变化,小数的近似数,1,1,1,1,,3,0,0
小数点移动引起小数大小的变化,小数加减法, 2/3,1,1,0,,2,1,0
小数点移动引起小数大小的变化,小数加减混合运算, 2/3,1,1,0,,2,1,0
小数点移动引起小数大小的变化,整数加法运算定律推广到小数,1,1,1,1,,3,0,0
小数与单位换算,小数的近似数, 2/3,1,1,0,,2,1,0
小数与单位换算,小数加减法,1,1,1,1,,3,0,0
小数与单位换算,小数加减混合运算, 2/3,1,1,0,,2,1,0
小数与单位换算,整数加法运算定律推广到小数,1,1,1,1,,3,0,0
小数的近似数,小数加减法, 2/3,1,1,0,,2,1,0
小数的近似数,小数加减混合运算, 2/3,1,1,0,,2,1,0
小数的近似数,整数加法运算定律推广到小数, 2/3,1,1,0,,2,1,0
三角形的特性,三角形的分类,1,1,1,1,,3,0,0
三角形的特性,三角形的内角和,1,1,1,1,,3,0,0
小数加减法,小数加减混合运算,1,1,1,1,,3,0,0
小数加减法,整数加法运算定律推广到小数,1,1,1,1,,3,0,0
小数加减混合运算,整数加法运算定律推广到小数, 2/3,0,1,1,,2,1,0
