概念A,概念B,投票结果支持率
数一数（准备课）,比多少（准备课）,1
1~5的认识,比多少（1~5的认识和加减法）,1
1~5的认识,加法（1~5的认识和加减法）,1
1~5的认识,减法（1~5的认识和加减法）,1
加法（1~5的认识和加减法）,减法（1~5的认识和加减法）, 2/3
6和7,连加连减（6~10 的认识和加减法）,1
8和9,连加连减（6~10 的认识和加减法）, 2/3
10,连加连减（6~10 的认识和加减法）,1
6和7,加减混合（6~10 的认识和加减法）,1
8和9,加减混合（6~10 的认识和加减法）,1
10,加减混合（6~10 的认识和加减法）,1
1~5的认识,11~20各数的认识, 2/3
6和7,11~20各数的认识, 2/3
8和9,11~20各数的认识, 2/3
10,11~20各数的认识, 2/3
1~5的认识,9加几,1
6和7,9加几, 2/3
8和9,9加几, 2/3
1~5的认识,8、7、6加几,1
6和7,8、7、6加几, 2/3
1~5的认识,5、4、3、2加几,1
11~20各数的认识,十几减9,1
9加几,十几减9, 2/3
11~20各数的认识,十几减8、7、6,1
8、7、6加几,十几减8、7、6, 2/3
11~20各数的认识,十几减5、4、3、2,1
1~5的认识,数数、数的组成, 2/3
6和7,数数、数的组成, 2/3
8和9,数数、数的组成, 2/3
10,数数、数的组成, 2/3
11~20各数的认识,数数、数的组成, 2/3
9加几,整十数加一位数及相应的减法,1
8、7、6加几,整十数加一位数及相应的减法,1
5、4、3、2加几,整十数加一位数及相应的减法, 2/3
加法（1~5的认识和加减法）,整十数加一位数及相应的减法, 2/3
减法（1~5的认识和加减法）,整十数加一位数及相应的减法,1
加法（1~5的认识和加减法）,整十数加、减整十数,1
减法（1~5的认识和加减法）,整十数加、减整十数,1
11~20各数的认识,两位数加一位数、整十数, 2/3
11~20各数的认识,两位数减一位数、整十数, 2/3
9加几,两位数加一位数、整十数,1
9加几,两位数减一位数、整十数, 2/3
8、7、6加几,两位数加一位数、整十数, 2/3
8、7、6加几,两位数减一位数、整十数, 2/3
5、4、3、2加几,两位数加一位数、整十数, 2/3
5、4、3、2加几,两位数减一位数、整十数, 2/3
整十数加一位数及相应的减法,不进位加, 2/3
简单的计算（认识人民币）,不进位加, 2/3
整十数加、减整十数,不进位加, 2/3
两位数加一位数、整十数,不进位加, 2/3
整十数加一位数及相应的减法,进位加,1
简单的计算（认识人民币）,进位加, 2/3
整十数加、减整十数,进位加, 2/3
两位数加一位数、整十数,进位加,1
十几减9,不退位减法, 2/3
十几减8、7、6,不退位减法, 2/3
整十数加、减整十数,不退位减法, 2/3
两位数减一位数、整十数,不退位减法,1
整十数加一位数及相应的减法,退位减法, 2/3
整十数加、减整十数,退位减法, 2/3
简单的计算（认识人民币）,退位减法, 2/3
两位数减一位数、整十数,退位减法, 2/3
十几减9,连加、连减和加减混合, 2/3
十几减8、7、6,连加、连减和加减混合, 2/3
十几减5、4、3、2,连加、连减和加减混合, 2/3
整十数加一位数及相应的减法,连加、连减和加减混合, 2/3
不进位加,进位加,1
不退位减法,退位减法,1
不进位加,连加、连减和加减混合,1
进位加,连加、连减和加减混合,1
不退位减法,连加、连减和加减混合,1
退位减法,连加、连减和加减混合,1
乘法的初步认识,5的乘法口诀,1
乘法的初步认识,2、3、4的乘法口诀,1
进位加,乘加乘减, 2/3
乘法的初步认识,乘加乘减,1
乘法的初步认识,6的乘法口诀,1
乘法的初步认识,7的乘法口诀,1
乘法的初步认识,8的乘法口诀,1
乘法的初步认识,9的乘法口诀,1
乘法的初步认识,用2~6的乘法口诀求商,1
5的乘法口诀,用2~6的乘法口诀求商,1
2、3、4的乘法口诀,用2~6的乘法口诀求商,1
6的乘法口诀,用2~6的乘法口诀求商,1
不进位加,整百、整千数加减法,1
进位加,整百、整千数加减法, 2/3
不退位减法,整百、整千数加减法,1
退位减法,整百、整千数加减法, 2/3
连加、连减和加减混合,整百、整千数加减法,1
平均分,除法（表内除法（一））, 2/3
平均分,表内除法（二）, 2/3
除法（表内除法（一））,表内除法（二）,1
平均分,有余数的除法, 2/3
除法（表内除法（一））,有余数的除法,1
表内除法（二）,有余数的除法, 2/3
1000以内数的认识,整百、整千数加减法,1
数据收集整理,数学广角——集合, 2/3
1000以内数的认识,万以内的加法和减法（一）, 2/3
1000以内数的认识,万以内的加法和减法（二）, 2/3
10000以内数的认识,万以内的加法和减法（一）,1
10000以内数的认识,万以内的加法和减法（二）,1
整百、整千数加减法,万以内的加法和减法（一）,1
整百、整千数加减法,万以内的加法和减法（二）,1
用2~6的乘法口诀求商,口算乘法（多位数乘一位数）, 2/3
用2~6的乘法口诀求商,笔算乘法（多位数乘一位数）, 2/3
克和千克,吨的认识,1
除法（表内除法（一））,倍的认识,1
毫米、分米的认识,千米的认识,1
倍的认识,口算乘法（多位数乘一位数）,1
四边形,周长（长方形和正方形）,1
几分之一,几分之几, 2/3
几分之一,分数的简单计算, 2/3
